"Title","Type","Question_Text","Question_Label","Answer_Text","Number_Times_Answer_Selected","Number_Times_Question_Answered","Question_ID","Answer_ID"
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">Do you feel that the thermal discomfort has affected your productivity?&nbsp;</span></p>","Thermal Comfort 7","A. No",116,116,1426034,4784072
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">THERMAL COMFORT:</span></strong></span></p>
<p><span style=""font-size: 18px;"">Do you feel that the thermal discomfort has affected your productivity?&nbsp;</span></p>","Thermal Comfort 7","B. Yes",0,116,1426034,4784073
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>","Air Quality 1","A. Satisfied",113,116,1426013,4784013
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>","Air Quality 1","B. Neutral",3,116,1426013,4784014
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall air quality in the building?</span></p>","Air Quality 1","C. Unsatisfied",0,116,1426013,4784015
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the air quality in your space/office?</span></p>","Air Quality 2","A. Satisfied",104,116,1426014,4784016
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the air quality in your space/office?</span></p>","Air Quality 2","B. Neutral",11,116,1426014,4784017
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""text-decoration: underline; font-size: 18px;""><strong><span style=""color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the air quality in your space/office?</span></p>","Air Quality 2","C. Unsatisfied",1,116,1426014,4784018
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with air freshness in your space/office?</span></p>","Air Quality 3","A. Satisfied",107,115,1426015,4784019
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with air freshness in your space/office?</span></p>","Air Quality 3","B. Neutral",7,115,1426015,4784020
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with air freshness in your space/office?</span></p>","Air Quality 3","C. Unsatisfied",1,115,1426015,4784021
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with dust in air at your space/office?</span></p>","Air Quality 4","A. Satisfied",108,115,1426016,4784022
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with dust in air at your space/office?</span></p>","Air Quality 4","B. Neutral",7,115,1426016,4784023
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with dust in air at your space/office?</span></p>","Air Quality 4","C. Unsatisfied",0,115,1426016,4784024
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with odors in your space/office (paint, coatings, chemicals… etc.)?</span></p>","Air Quality 5","A. Satisfied",110,115,1426017,4784025
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with odors in your space/office (paint, coatings, chemicals… etc.)?</span></p>","Air Quality 5","B. Neutral",5,115,1426017,4784026
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with odors in your space/office (paint, coatings, chemicals… etc.)?</span></p>","Air Quality 5","C. Unsatisfied",0,115,1426017,4784027
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">Have you experienced any health issues in relation to poor air quality (respiratory infections, difficulty in breathing, eye irritation, asthma, nausea, … etc.)?</span></p>","Air Quality 6","A. No",113,115,1426039,4784082
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">Have you experienced any health issues in relation to poor air quality (respiratory infections, difficulty in breathing, eye irritation, asthma, nausea, … etc.)?</span></p>","Air Quality 6","B. Yes",2,115,1426039,4784083
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">Do you feel that the poor air quality has affected your productivity?&nbsp;</span></p>","Air Quality 7","A. No",114,115,1426018,4784028
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">AIR QUALITY:</span></strong></span></p>
<p><span style=""font-size: 18px;"">Do you feel that the poor air quality has affected your productivity?&nbsp;</span></p>","Air Quality 7","B. Yes",1,115,1426018,4784029
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">LIGHTING:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall quality of artificial lighting in the building?</span></p>","Lighting 1","A. Satisified",113,115,1426019,4784030
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">LIGHTING:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall quality of artificial lighting in the building?</span></p>","Lighting 1","B. Neutral",2,115,1426019,4784031
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">LIGHTING:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the overall quality of artificial lighting in the building?</span></p>","Lighting 1","C. Unsatisfied",0,115,1426019,4784032
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">LIGHTING:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the quality of artificial lighting in your space/office?</span></p>","Lighting 2","A. Satisfied",110,115,1426020,4784033
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">LIGHTING:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the quality of artificial lighting in your space/office?</span></p>","Lighting 2","B. Neutral",4,115,1426020,4784034
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">LIGHTING:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the quality of artificial lighting in your space/office?</span></p>","Lighting 2","C. Unsatisfied",1,115,1426020,4784035
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">LIGHTING:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the arrangement of light fixtures relative to furniture layouts?</span></p>","Lighting 3","A. Satisfied",111,115,1426021,4784036
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">LIGHTING:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the arrangement of light fixtures relative to furniture layouts?</span></p>","Lighting 3","B. Neutral",4,115,1426021,4784037
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">LIGHTING:</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the arrangement of light fixtures relative to furniture layouts?</span></p>","Lighting 3","C. Unsatisfied",0,115,1426021,4784038
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">LIGHTING</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the color quality produced by the artificial lighting?</span></p>","Lighting 4","A. Satisfied",104,115,1426022,4784039
"Indoor Environment - Occupant Survey: Lulu Hypermarket – Al Hilal","Survey","<p><span style=""font-size: 18px;""><strong><span style=""text-decoration: underline; color: #ff0000;"">LIGHTING</span></strong></span></p>
<p><span style=""font-size: 18px;"">How satisfied are you with the color quality produced by the artificial lighting?</span></p>","Lighting 4","B. Neutral",11,115,1426022,4784040
